Title,Authors,Keyword,Year,Database,Approach,Results,UkBiobank usage,Focus,Citation Number
Comparison of global incidence and MRFs of HCC and iCC,Wu et al.,Cholangiocarcinoma,2026,PubMed,Modifiable Risk Factor Analysis,pICC,Main Study,Specific,2
"Comprensive evaluation of L, L, and M associated with GI CR",Sun et al.,Biliary Tract Cancer,2026,PubMed,N.A.,N.A.,N.A.,N.A.,0
Unveiling the burden of SLD: Mortality Risk by SFS,Feng et al.,Biliary Tract Cancer,2026,PubMed,Pathology Incidence Analysis,pICC,Main Study,Generic,0
"Global, Population and Genetic Evidence on the Rel. between I-MID and CRs",Dong et al.,Biliary Tract Cancer,2026,Scopus,Pathology Incidence Analysis,"pICC,nBDC",Validation Study,Generic,0
Unveiling causal links between serum amino acid levels and risk of hepatobiliary neoplasms by Mendelian randomization study,Zhai et al.,Cholangiocarcinoma,2025,PubMed,Genomic Analysis,nsICC,Main Study,Specific,0
"Liver diseases, transaminases, and hepatobiliary–pancreatic cancer risk: a cohort and Mendelian randomisation study using data from UK Biobank",Yuan et al.,Cholangiocarcinoma,2025,PubMed,"Genomic Analysis,Pathology Incidence Analysis","pICC,nsBDC",Main Study,Specific,0
"Total testosterone, sex hormone‐binding globulin, and free testosterone concentrations and risk of primary liver cancer: A prospective analysis of 200,000 men and 180,000 postmenopausal women",Watling et al.,Cholangiocarcinoma,2025,PubMed,Genomic Analysis,nsICC,Main Study,Half,5
"Oral contraceptive use and risk of liver cancer: a population-based study, systematic review, and meta-analysis",Watling et al.,Cholangiocarcinoma,2025,PubMed,Modifiable Risk Factor Analysis,pICC,Main Study,Specific,1
The Effect of Nonalcoholic Fatty Liver Disease on Extrahepatic Cancers: Evidence From Population‐Based Cohort and Mendelian Randomization,Wang et al.,Bile duct cancer,2025,PubMed,Pathology Incidence Analysis,nsBDC,Main Study,Specific,1
The early-onset cancer epidemics: evidence synthesis using the prospective cohort incident-tumor biobank method,Ogino et al.,Bile duct cancer,2025,PubMed,Pathology Incidence Analysis,N.A.,Support Study,Generic,1
Associations between psoriasis and risk of 33 cancers: a Mendelian randomization study,Liu et al.,Bile duct cancer,2025,Scopus,Pathology Incidence Analysis,"nsICC,nsBDC",Main Study,Generic,1
Excess adiposity and cancer: evaluating a preclinical-clinical obesity framework for risk stratification,Leitzmann et al.,Biliary tract cancer,2025,PubMed,Pathology Incidence Analysis,"pICC,pBDC",Main Study,Generic,15
Genetic associations of cholelithiasis and biliary tract cancer,Jiang et al.,Biliary tract cancer,2025,PubMed,Genomic Analysis,pBDC,Main Study,Specific,0
Associations between prediagnostic plasma metabolites and biliary tract cancer risk in the prospective UK Biobank cohort,Gunchick et al.,Biliary tract cancer,2025,PubMed,Genomic Analysis,pBDC,Main Study,Specific,2
Differential impact of immune-mediated inflammatory diseases before versus after cancer on patient survival: a nationwide cohort study,Deng et al.,Bile duct cancer,2025,Scopus,Pathology Incidence Analysis,"pICC,nBDC",Main Study,Generic,1
